2017-01-24 02:37:54,743 - INFO - 3692:Dummy-12 - zato_admin:22 - cid:[K04RER247MNRZBM7J1DVGAE400KQ], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:37:54,751 - INFO - 3692:Dummy-12 - zato_admin:22 - cid:[K04RER247MNRZBM7J1DVGAE400KQ], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:37:54,759 - INFO - 3691:Dummy-25 - zato_admin:22 - cid:[K04RER247MNRZBM7J1DVGAE400KQ], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:38:11,392 - INFO - 3691:Dummy-26 - zato_admin:22 - cid:[K05Y4H49S1G0ZYGC1SXPYWCWQV94], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:38:11,415 - INFO - 3691:Dummy-26 - zato_admin:22 - cid:[K05Y4H49S1G0ZYGC1SXPYWCWQV94], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:38:11,468 - INFO - 3692:Dummy-13 - zato_admin:22 - cid:[K07BP44DW0S13SBFKAP7Z069ZKB3], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:38:11,488 - INFO - 3692:Dummy-13 - zato_admin:22 - cid:[K07BP44DW0S13SBFKAP7Z069ZKB3], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:38:24,531 - INFO - 3691:Dummy-27 - zato_admin:22 - cid:[K0773NR4MZ4T4P4Z4NAQS6B51F5V], name:[zato.stats.process-raw-times], SIO request:[{}]
2017-01-24 02:38:24,540 - INFO - 3691:Dummy-27 - zato_admin:22 - cid:[K0773NR4MZ4T4P4Z4NAQS6B51F5V], name:[zato.stats.process-raw-times], response:[]
2017-01-24 02:38:24,744 - INFO - 3691:Dummy-29 - zato_admin:22 - cid:[K066DD5RFNVBMVRGX12FFZXWJ9AN], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:38:24,744 - INFO - 3692:Dummy-14 - zato_admin:22 - cid:[K066DD5RFNVBMVRGX12FFZXWJ9AN], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:38:24,744 - INFO - 3692:Dummy-14 - zato_admin:22 - cid:[K066DD5RFNVBMVRGX12FFZXWJ9AN], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:38:24,757 - INFO - 3691:Dummy-29 - zato_admin:22 - cid:[K066DD5RFNVBMVRGX12FFZXWJ9AN], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:38:41,397 - INFO - 3691:Dummy-30 - zato_admin:22 - cid:[K06ZXXEDTATEZJMHH6PD3CG8MR59], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:38:41,438 - INFO - 3691:Dummy-30 - zato_admin:22 - cid:[K06ZXXEDTATEZJMHH6PD3CG8MR59], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:38:41,469 - INFO - 3692:Dummy-15 - zato_admin:22 - cid:[K0548KRMHMKTCFG4GR0JP5PWJND5], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:38:41,490 - INFO - 3692:Dummy-15 - zato_admin:22 - cid:[K0548KRMHMKTCFG4GR0JP5PWJND5], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:38:54,747 - INFO - 3691:Dummy-32 - zato_admin:22 - cid:[K06QRD7EXNMNPJ044J3VJCX442D9], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:38:54,754 - INFO - 3692:Dummy-16 - zato_admin:22 - cid:[K06QRD7EXNMNPJ044J3VJCX442D9], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:38:54,754 - INFO - 3692:Dummy-16 - zato_admin:22 - cid:[K06QRD7EXNMNPJ044J3VJCX442D9], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:38:54,765 - INFO - 3691:Dummy-32 - zato_admin:22 - cid:[K06QRD7EXNMNPJ044J3VJCX442D9], name:[zato.server.ensure-cluster-wide-singleton], response:[]
2017-01-24 02:39:11,477 - INFO - 3691:Dummy-33 - zato_admin:22 - cid:[K04MECA0S207367YPHAPSMXRBVK7], name:[zato.server.cluster-wide-singleton-keep-alive], SIO request:[{}]
2017-01-24 02:39:11,504 - INFO - 3691:Dummy-33 - zato_admin:22 - cid:[K04MECA0S207367YPHAPSMXRBVK7], name:[zato.server.cluster-wide-singleton-keep-alive], response:[]
2017-01-24 02:39:24,752 - INFO - 3691:Dummy-35 - zato_admin:22 - cid:[K049X8JP1Q9K71XWRD4VKZHE705E], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
2017-01-24 02:39:24,754 - INFO - 3692:Dummy-17 - zato_admin:22 - cid:[K049X8JP1Q9K71XWRD4VKZHE705E], name:[zato.server.ensure-cluster-wide-singleton], SIO request:[{}]
